subj,num,suf,format,term,code,inst,title,sec,enr
NBIO,157,A,LAB,Fall 2011,1113,"Vecsey, Christopher",PROJ LAB IN NEURO AND BEHAVIOR,1,11
PHYS,39,A,LAB,Fall 2011,1113,"Fraden, Seth",ADVANCED PHYSICS LAB,1,2
PHYS,169,B,LAB,Fall 2011,1113,"Fraden, Seth",ADVANCED LABORATORY,1,4
PHYS,29,A,LAB,Fall 2011,1113,"Kirsch, Lawrence",ELECTRONICS LAB I,1,14
PHYS,19,A,LAB,Fall 2011,1113,"Blocker, Craig",PHYSICS LAB I,1,85
PHYS,18,A,LAB,Fall 2011,1113,"Wellenstein, Hermann",INTRODUCTORY LAB I,1,100
THA,42,A,LAB,Fall 2011,1113,"Hill, Eric",ACTING PRACTICUM,1,1
THA,45,A,LAB,Fall 2011,1113,"Booth, Debra",DESIGN/TECH. PRACTICUM,1,1
THA,47,A,LAB,Fall 2011,1113,"Cleary, Jennifer",STAGE MANG. PRACTICUM,1,1
THA,44,A,LAB,Fall 2011,1113,"Hill, Eric",DIRECTING PRACTICUM,1,2
THA,81,A,LAB,Fall 2011,1113,"Hyland, Alicia",THEATER LABORATORY,1,8
THA,199,A,LAB,Fall 2011,1113,"Terry, Elizabeth",PRODUCTION VOCAL COACHING LAB,1,10
THA,164,A,LAB,Fall 2011,1113,"Schoonmaker, Charles",COSTUMES:SCRIPT TO STAGE,1,13
THA,123,A,LAB,Fall 2011,1113,"McKittrick, Ryan",AMERICAN MUSICAL THEATER,1,14
EL,94,A,LAB,Spring 2012,1121,"Kramer Theodorou, Rachel",EXPERIENTIAL LEARNING PRACTICM,1,9
EL,94,A,LAB,Spring 2012,1121,"Nsiah-Jefferson, Laurie",EXPERIENTIAL LEARNING PRACTICM,10,2
EL,94,A,LAB,Spring 2012,1121,"Fair, Tory",EXPERIENTIAL LEARNING PRACTICM,11,1
EL,94,A,LAB,Spring 2012,1121,"Di Lillo, Antonella",EXPERIENTIAL LEARNING PRACTICM,12,5
EL,94,A,LAB,Spring 2012,1121,"Cleary, Jennifer",EXPERIENTIAL LEARNING PRACTICM,13,3
EL,94,A,LAB,Spring 2012,1121,"Ringvald, Vardit",EXPERIENTIAL LEARNING PRACTICM,14,1
EL,94,A,LAB,Spring 2012,1121,"Cunningham, David",EXPERIENTIAL LEARNING PRACTICM,15,11
EL,94,A,LAB,Spring 2012,1121,"Rosenberg, Fernando",EXPERIENTIAL LEARNING PRACTICM,16,5
EL,94,A,LAB,Spring 2012,1121,"Nsiah-Jefferson, Laurie",EXPERIENTIAL LEARNING PRACTICM,17,1
EL,94,A,LAB,Spring 2012,1121,"Kosinski-Collins, Melissa",EXPERIENTIAL LEARNING PRACTICM,3,10
EL,94,A,LAB,Spring 2012,1121,"Roosevelt, Dirck",EXPERIENTIAL LEARNING PRACTICM,4,1
EL,94,A,LAB,Spring 2012,1121,"Perlman, Dan",EXPERIENTIAL LEARNING PRACTICM,5,20
EL,94,A,LAB,Spring 2012,1121,"Walkowiak, Sarah",EXPERIENTIAL LEARNING PRACTICM,6,9
EL,94,A,LAB,Spring 2012,1121,"Hickey, Timothy",EXPERIENTIAL LEARNING PRACTICM,7,6
EL,94,A,LAB,Spring 2012,1121,"Paradis, Angela",EXPERIENTIAL LEARNING PRACTICM,8,3
EL,94,A,LAB,Spring 2012,1121,"Rosenberger, Chandler",EXPERIENTIAL LEARNING PRACTICM,9,7
BCHM,155,B,LAB,Spring 2012,1121,"Westover, Emily",BIOCHEMISTRY LABORATORY,1,16
BIOL,158,B,LAB,Spring 2012,1121,"Dore, Justin",CELL BIOLOGY PROJECT LAB,1,13
BIOL,18,A,LAB,Spring 2012,1121,"Kosinski-Collins, Melissa",GENERAL BIOLOGY LAB,2,72
BIOL,18,A,LAB,Spring 2012,1121,"Kosinski-Collins, Melissa",GENERAL BIOLOGY LAB,3,69
BIOL,18,A,LAB,Spring 2012,1121,"Kosinski-Collins, Melissa",GENERAL BIOLOGY LAB,4,71
CHEM,59,B,LAB,Spring 2012,1121,"Pochapsky, Thomas",ADVANCED EXPERIMENTAL CHEM I,1,7
CHEM,19,B,LAB,Spring 2012,1121,"Dolnik, Milos",HONORS GEN'L CHEM LAB II,1,15
CHEM,29,B,LAB,Spring 2012,1121,"Pontrello, Jason",ORGANIC CHEMISTRY LAB II,1,42
CHEM,18,B,LAB,Spring 2012,1121,"Dolnik, Milos",GENERAL CHEMISTRY LAB II,1,43
CHEM,59,B,LAB,Spring 2012,1121,"Pochapsky, Thomas",ADVANCED EXPERIMENTAL CHEM I,2,7
CHEM,19,B,LAB,Spring 2012,1121,"Dolnik, Milos",HONORS GEN'L CHEM LAB II,2,15
CHEM,29,B,LAB,Spring 2012,1121,"Pontrello, Jason",ORGANIC CHEMISTRY LAB II,2,37
CHEM,18,B,LAB,Spring 2012,1121,"Dolnik, Milos",GENERAL CHEMISTRY LAB II,2,55
CHEM,59,B,LAB,Spring 2012,1121,"Pochapsky, Thomas",ADVANCED EXPERIMENTAL CHEM I,3,6
CHEM,29,B,LAB,Spring 2012,1121,"Pontrello, Jason",ORGANIC CHEMISTRY LAB II,3,38
CHEM,19,B,LAB,Spring 2012,1121,"Dolnik, Milos",HONORS GEN'L CHEM LAB II,4,15
CHEM,18,B,LAB,Spring 2012,1121,"Dolnik, Milos",GENERAL CHEMISTRY LAB II,4,37
CHEM,29,B,LAB,Spring 2012,1121,"Pontrello, Jason",ORGANIC CHEMISTRY LAB II,4,40
CHEM,29,B,LAB,Spring 2012,1121,"Pontrello, Jason",ORGANIC CHEMISTRY LAB II,5,40
CHEM,18,B,LAB,Spring 2012,1121,"Dolnik, Milos",GENERAL CHEMISTRY LAB II,5,53
FILM,110,B,LAB,Spring 2012,1121,"Dellelo, Mark",MOTION PICTURE EDITING,1,14
QBIO,120,B,LAB,Spring 2012,1121,"Samadani, Azadeh",QBIO INSTRUMENTATION LAB,1,14
MUS,104,B,LAB,Spring 2012,1121,"Cheah, Victoria",THEOR/MUSIC LAB II:PRT 2,1,8
MUS,102,B,LAB,Spring 2012,1121,"Cha, Daesik",THEORY MUSIC LAB I:PRT 2,1,10
MUS,102,B,LAB,Spring 2012,1121,"Schwindt, Joel",THEORY MUSIC LAB I:PRT 2,2,5
MUS,102,B,LAB,Spring 2012,1121,"Dominique, David",THEORY MUSIC LAB I:PRT 2,3,6
PHYS,169,B,LAB,Spring 2012,1121,"Fraden, Seth",ADVANCED LABORATORY,1,1
PHYS,39,A,LAB,Spring 2012,1121,"Fraden, Seth",ADVANCED PHYSICS LAB,1,10
PHYS,19,B,LAB,Spring 2012,1121,"Sciolla, Gabriella",PHYSICS LAB II,1,68
PHYS,18,B,LAB,Spring 2012,1121,"Wellenstein, Hermann",INTRODUCTORY LAB II,1,81
THA,42,A,LAB,Spring 2012,1121,"Hill, Eric",ACTING PRACTICUM,1,1
THA,47,A,LAB,Spring 2012,1121,"Cleary, Jennifer",STAGE MANG. PRACTICUM,1,2
THA,81,A,LAB,Spring 2012,1121,"Tedford, Chris",THEATER LABORATORY,1,4
THA,199,A,LAB,Spring 2012,1121,"Terry, Elizabeth",PRODUCTION VOCAL COACHING LAB,1,10
CHEM,18,B,LAB,Summer 2012,1122,"Novack, Claudia",GENERAL CHEMISTRY LAB II,1,21
CHEM,18,A,LAB,Summer 2012,1122,"Novack, Claudia",GENERAL CHEMISTRY LAB I,1,22
CHEM,29,A,LAB,Summer 2012,1122,"Pontrello, Jason",ORGANIC CHEMISTRY LAB I,1,31
CHEM,29,B,LAB,Summer 2012,1122,"Pontrello, Jason",ORGANIC CHEMISTRY LAB II,1,34
CHEM,18,A,LAB,Summer 2012,1122,"Vela, Michael",GENERAL CHEMISTRY LAB I,2,8
PHYS,18,A,LAB,Summer 2012,1122,"Wellenstein, Hermann",INTRODUCTORY LAB I,1,9
PHYS,18,B,LAB,Summer 2012,1122,"Wellenstein, Hermann",INTRODUCTORY LAB II,1,11
EL,94,A,LAB,Fall 2012,1123,"Lamb, Sarah",EXPERIENTIAL LEARNING PRACTICM,1,10
EL,94,A,LAB,Fall 2012,1123,"Conrad, Peter",EXPERIENTIAL LEARNING PRACTICM,10,9
EL,94,A,LAB,Fall 2012,1123,"Meave, Ariel",EXPERIENTIAL LEARNING PRACTICM,11,10
EL,94,A,LAB,Fall 2012,1123,"Smith, Adam",EXPERIENTIAL LEARNING PRACTICM,12,20
EL,94,A,LAB,Fall 2012,1123,"Hascal, Sara",EXPERIENTIAL LEARNING PRACTICM,13,12
EL,94,A,LAB,Fall 2012,1123,"Ankori, Gannit",EXPERIENTIAL LEARNING PRACTICM,14,1
EL,94,A,LAB,Fall 2012,1123,"Goldin, Laura",EXPERIENTIAL LEARNING PRACTICM,15,19
EL,94,A,LAB,Fall 2012,1123,"Urcid, Javier",EXPERIENTIAL LEARNING PRACTICM,16,2
EL,94,A,LAB,Fall 2012,1123,"Fellman, Gordon",EXPERIENTIAL LEARNING PRACTICM,17,9
EL,94,A,LAB,Fall 2012,1123,"Kosinski-Collins, Melissa",EXPERIENTIAL LEARNING PRACTICM,2,9
EL,94,A,LAB,Fall 2012,1123,"Di Lillo, Antonella",EXPERIENTIAL LEARNING PRACTICM,3,4
EL,94,A,LAB,Fall 2012,1123,"Hilscher, Jens",EXPERIENTIAL LEARNING PRACTICM,4,3
EL,94,A,LAB,Fall 2012,1123,"Redenius, Scott",EXPERIENTIAL LEARNING PRACTICM,5,4
EL,94,A,LAB,Fall 2012,1123,"Chester, Charles",EXPERIENTIAL LEARNING PRACTICM,7,1
BIOL,155,A,LAB,Fall 2012,1123,"Morris, James",PROJECT LAB:GENETICS&GENOMICS,1,11
BIOL,156,A,LAB,Fall 2012,1123,"Marr, Michael",PROJECT LAB IN BIOTECH.,1,15
BIOL,107,A,LAB,Fall 2012,1123,"Van Hooser, Stephen",DATA ANALYSIS STATS WORKSHOP,1,21
BIOL,18,B,LAB,Fall 2012,1123,"Kosinski-Collins, Melissa",GENERAL BIOLOGY LAB,2,64
BIOL,18,B,LAB,Fall 2012,1123,"Kosinski-Collins, Melissa",GENERAL BIOLOGY LAB,3,66
BIOL,18,B,LAB,Fall 2012,1123,"Kosinski-Collins, Melissa",GENERAL BIOLOGY LAB,4,71
BIOL,18,B,LAB,Fall 2012,1123,"Kosinski-Collins, Melissa",GENERAL BIOLOGY LAB,5,23
CHEM,69,A,LAB,Fall 2012,1123,"Xu, Bing",ADVANCED EXPERIMENTAL CHEM II,1,7
CHEM,19,A,LAB,Fall 2012,1123,"Dolnik, Milos",HONORS GEN'L CHEM LAB I,1,11
CHEM,29,A,LAB,Fall 2012,1123,"Pontrello, Jason",ORGANIC CHEMISTRY LAB I,1,41
CHEM,18,A,LAB,Fall 2012,1123,"Dolnik, Milos",GENERAL CHEMISTRY LAB I,1,56
CHSC,3,B,LAB,Fall 2012,1123,"Peavey, Dwight",ENVRO CHALLEGNES: ROLE OF CHEM,1,25
CHEM,69,A,LAB,Fall 2012,1123,"Xu, Bing",ADVANCED EXPERIMENTAL CHEM II,2,8
CHEM,19,A,LAB,Fall 2012,1123,"Dolnik, Milos",HONORS GEN'L CHEM LAB I,2,14
CHEM,29,A,LAB,Fall 2012,1123,"Pontrello, Jason",ORGANIC CHEMISTRY LAB I,2,36
CHEM,18,A,LAB,Fall 2012,1123,"Dolnik, Milos",GENERAL CHEMISTRY LAB I,2,55
CHEM,29,A,LAB,Fall 2012,1123,"Pontrello, Jason",ORGANIC CHEMISTRY LAB I,3,36
CHEM,19,A,LAB,Fall 2012,1123,"Dolnik, Milos",HONORS GEN'L CHEM LAB I,4,11
CHEM,29,A,LAB,Fall 2012,1123,"Pontrello, Jason",ORGANIC CHEMISTRY LAB I,4,41
CHEM,18,A,LAB,Fall 2012,1123,"Dolnik, Milos",GENERAL CHEMISTRY LAB I,4,60
CHEM,29,A,LAB,Fall 2012,1123,"Pontrello, Jason",ORGANIC CHEMISTRY LAB I,5,39
CHEM,18,A,LAB,Fall 2012,1123,"Dolnik, Milos",GENERAL CHEMISTRY LAB I,5,73
COSI,89,AJ,LAB,Fall 2012,1123,"Hickey, Timothy",RESEARCH INTERNSHIP,1,1
QBIO,120,B,LAB,Fall 2012,1123,"Gelles, Jeff",QBIO INSTRUMENTATION LAB,1,12
MUS,102,A,LAB,Fall 2012,1123,"Koh, Emily",THEORY/MSCNSHP LABI PRT1,1,8
MUS,104,A,LAB,Fall 2012,1123,"Redmond, Jared",THEORY/MSCNSHP LAB2 PRT1,1,13
MUS,102,A,LAB,Fall 2012,1123,"Lane, Alexander",THEORY/MSCNSHP LABI PRT1,2,8
MUS,102,A,LAB,Fall 2012,1123,"Lin, Mu-Hsuan",THEORY/MSCNSHP LABI PRT1,3,7
PHYS,169,B,LAB,Fall 2012,1123,"Fraden, Seth",ADVANCED LABORATORY,1,1
PHYS,39,A,LAB,Fall 2012,1123,"Fraden, Seth",ADVANCED PHYSICS LAB,1,3
PHYS,29,A,LAB,Fall 2012,1123,"Bensinger, James",ELECTRONICS LAB I,1,13
PHYS,19,A,LAB,Fall 2012,1123,"Fell, Richard",PHYSICS LAB I,1,93
PHYS,18,A,LAB,Fall 2012,1123,"Wellenstein, Hermann",INTRODUCTORY LAB I,1,110
THA,47,A,LAB,Fall 2012,1123,"Cleary, Jennifer",STAGE MANG. PRACTICUM,1,2
THA,44,A,LAB,Fall 2012,1123,"Krstansky, Adrianne",DIRECTING PRACTICUM,1,3
THA,42,A,LAB,Fall 2012,1123,"Krstansky, Adrianne",ACTING PRACTICUM,1,4
THA,43,A,LAB,Fall 2012,1123,"Dibble, Susan",DANCE & MVMNT PRACTICUM,1,4
THA,81,A,LAB,Fall 2012,1123,"Kau, Miranda",THEATER LABORATORY,1,7
THA,199,A,LAB,Fall 2012,1123,"Terry, Elizabeth",PRODUCTION VOCAL COACHING LAB,1,9
EL,94,A,LAB,Spring 2013,1131,"Kramer Theodorou, Rachel",EXPERIENTIAL LEARNING PRACTICM,1,4
EL,94,A,LAB,Spring 2013,1131,"Pontrello, Jason",EXPERIENTIAL LEARNING PRACTICM,10,9
EL,94,A,LAB,Spring 2013,1131,"Meave, Ariel",EXPERIENTIAL LEARNING PRACTICM,11,10
EL,94,A,LAB,Spring 2013,1131,"Smith, Adam",EXPERIENTIAL LEARNING PRACTICM,12,20
EL,94,A,LAB,Spring 2013,1131,"Morris, James",EXPERIENTIAL LEARNING PRACTICM,13,2
EL,94,A,LAB,Spring 2013,1131,"Fellman, Gordon",EXPERIENTIAL LEARNING PRACTICM,14,1
EL,94,A,LAB,Spring 2013,1131,"Kramer Theodorou, Rachel",EXPERIENTIAL LEARNING PRACTICM,2,1
EL,94,A,LAB,Spring 2013,1131,"Pettenuzzo, Davide",EXPERIENTIAL LEARNING PRACTICM,3,4
EL,94,A,LAB,Spring 2013,1131,"Rosenberger, Chandler",EXPERIENTIAL LEARNING PRACTICM,4,4
EL,94,A,LAB,Spring 2013,1131,"Mooney, Daniel",EXPERIENTIAL LEARNING PRACTICM,6,9
EL,94,A,LAB,Spring 2013,1131,"Goldin, Laura",EXPERIENTIAL LEARNING PRACTICM,7,9
EL,94,A,LAB,Spring 2013,1131,"Hascal, Sara",EXPERIENTIAL LEARNING PRACTICM,8,4
EL,94,A,LAB,Spring 2013,1131,"Kramer Theodorou, Rachel",EXPERIENTIAL LEARNING PRACTICM,9,2
BCHM,155,B,LAB,Spring 2013,1131,"Westover, Emily",BIOCHEMISTRY LABORATORY,1,8
BIOL,18,A,LAB,Spring 2013,1131,"Kosinski-Collins, Melissa",GENERAL BIOLOGY LAB,2,65
BIOL,18,A,LAB,Spring 2013,1131,"Kosinski-Collins, Melissa",GENERAL BIOLOGY LAB,3,80
BIOL,18,A,LAB,Spring 2013,1131,"Kosinski-Collins, Melissa",GENERAL BIOLOGY LAB,4,70
CHEM,39,B,LAB,Spring 2013,1131,"Wade, Christine",INTERMEDIATE CHEM. LAB,1,8
CHEM,29,B,LAB,Spring 2013,1131,"Pontrello, Jason",ORGANIC CHEMISTRY LAB II,1,36
CHEM,18,B,LAB,Spring 2013,1131,"Dolnik, Milos",GENERAL CHEMISTRY LAB II,1,46
CHEM,39,B,LAB,Spring 2013,1131,"Wade, Christine",INTERMEDIATE CHEM. LAB,2,8
CHEM,19,B,LAB,Spring 2013,1131,"Dolnik, Milos",HONORS GEN'L CHEM LAB II,2,16
CHEM,29,B,LAB,Spring 2013,1131,"Pontrello, Jason",ORGANIC CHEMISTRY LAB II,2,33
CHEM,18,B,LAB,Spring 2013,1131,"Dolnik, Milos",GENERAL CHEMISTRY LAB II,2,57
CHEM,39,B,LAB,Spring 2013,1131,"Wade, Christine",INTERMEDIATE CHEM. LAB,3,8
CHEM,29,B,LAB,Spring 2013,1131,"Pontrello, Jason",ORGANIC CHEMISTRY LAB II,3,27
CHEM,39,B,LAB,Spring 2013,1131,"Wade, Christine",INTERMEDIATE CHEM. LAB,4,7
CHEM,19,B,LAB,Spring 2013,1131,"Dolnik, Milos",HONORS GEN'L CHEM LAB II,4,17
CHEM,29,B,LAB,Spring 2013,1131,"Pontrello, Jason",ORGANIC CHEMISTRY LAB II,4,38
CHEM,18,B,LAB,Spring 2013,1131,"Dolnik, Milos",GENERAL CHEMISTRY LAB II,4,46
CHEM,29,B,LAB,Spring 2013,1131,"Pontrello, Jason",ORGANIC CHEMISTRY LAB II,5,35
CHEM,18,B,LAB,Spring 2013,1131,"Dolnik, Milos",GENERAL CHEMISTRY LAB II,5,53
FILM,110,A,LAB,Spring 2013,1131,"Weinberg, Marc",FILM PRODUCTION I,1,16
FILM,110,B,LAB,Spring 2013,1131,"Mooney, Daniel",MOTION PICTURE EDITING,1,18
MUS,102,B,LAB,Spring 2013,1131,"Koh, Emily",THEORY MUSIC LAB I:PRT 2,1,8
MUS,104,B,LAB,Spring 2013,1131,"Redmond, Jared",THEOR/MUSIC LAB II:PRT 2,1,12
MUS,102,B,LAB,Spring 2013,1131,"Lane, Alexander",THEORY MUSIC LAB I:PRT 2,2,5
MUS,102,B,LAB,Spring 2013,1131,"Lin, Mu-Hsuan",THEORY MUSIC LAB I:PRT 2,3,9
NBIO,157,A,LAB,Spring 2013,1131,"Vecsey, Christopher",PROJ LAB IN NEURO AND BEHAVIOR,1,2
PHYS,169,B,LAB,Spring 2013,1131,"Fraden, Seth",ADVANCED LABORATORY,1,2
PHYS,39,A,LAB,Spring 2013,1131,"Fraden, Seth",ADVANCED PHYSICS LAB,1,12
PHYS,19,B,LAB,Spring 2013,1131,"Dogic, Zvonimir",PHYSICS LAB II,1,68
PHYS,18,B,LAB,Spring 2013,1131,"Wellenstein, Hermann",INTRODUCTORY LAB II,1,123
PHYS,169,B,LAB,Spring 2013,1131,"Fraden, Seth",ADVANCED LABORATORY,2,3
PHYS,39,A,LAB,Spring 2013,1131,"Fraden, Seth",ADVANCED PHYSICS LAB,2,14
THA,42,A,LAB,Spring 2013,1131,"Krstansky, Adrianne",ACTING PRACTICUM,1,1
THA,44,A,LAB,Spring 2013,1131,"Hill, Eric",DIRECTING PRACTICUM,1,2
THA,47,A,LAB,Spring 2013,1131,"Cleary, Jennifer",STAGE MANG. PRACTICUM,1,3
THA,43,A,LAB,Spring 2013,1131,"Dibble, Susan",DANCE & MVMNT PRACTICUM,1,4
THA,199,A,LAB,Spring 2013,1131,"Terry, Elizabeth",PRODUCTION VOCAL COACHING LAB,1,10
THA,123,A,LAB,Spring 2013,1131,"McKittrick, Ryan",AMERICAN MUSICAL THEATER,1,18
BIOL,107,A,LAB,Summer 2013,1132,"Maier, Joost",DATA ANALYSIS STATS WORKSHOP,1,7
BISC,10,AJ,LAB,Summer 2013,1132,"Lai, Elaine",DIABETES,1,10
CHEM,18,B,LAB,Summer 2013,1132,"Novack, Claudia",GENERAL CHEMISTRY LAB II,1,15
CHEM,18,A,LAB,Summer 2013,1132,"Novack, Claudia",GENERAL CHEMISTRY LAB I,1,16
CHEM,29,A,LAB,Summer 2013,1132,"Pontrello, Jason",ORGANIC CHEMISTRY LAB I,1,55
CHEM,29,B,LAB,Summer 2013,1132,"Pontrello, Jason",ORGANIC CHEMISTRY LAB II,1,59
CHEM,18,A,LAB,Summer 2013,1132,"Vela, Michael",GENERAL CHEMISTRY LAB I,2,7
FILM,110,A,LAB,Summer 2013,1132,"Weinberg, Marc",FILM PRODUCTION I,1,4
PHYS,18,A,LAB,Summer 2013,1132,"Wellenstein, Hermann",INTRODUCTORY LAB I,1,15
PHYS,18,B,LAB,Summer 2013,1132,"Wellenstein, Hermann",INTRODUCTORY LAB II,1,15
AMST,177,B,LAB,Fall 2013,1133,"Doherty, Thomas",TRUE CRIME AND AMER. CULTURE,1,35
EL,94,A,LAB,Fall 2013,1133,"Hanes, Amy",EXPERIENTIAL LEARNING PRACTICM,1,20
EL,94,A,LAB,Fall 2013,1133,"Fellman, Gordon",EXPERIENTIAL LEARNING PRACTICM,11,7
EL,94,A,LAB,Fall 2013,1133,"Hart, Andrew",EXPERIENTIAL LEARNING PRACTICM,2,21
EL,94,A,LAB,Fall 2013,1133,"Vasquez, Alexandria",EXPERIENTIAL LEARNING PRACTICM,3,20
EL,94,A,LAB,Fall 2013,1133,"Lamb, Sarah",EXPERIENTIAL LEARNING PRACTICM,4,4
EL,94,A,LAB,Fall 2013,1133,"Conrad, Peter",EXPERIENTIAL LEARNING PRACTICM,5,13
EL,94,A,LAB,Fall 2013,1133,"Dellelo, Mark",EXPERIENTIAL LEARNING PRACTICM,6,6
EL,94,A,LAB,Fall 2013,1133,"McIntosh, Janet",EXPERIENTIAL LEARNING PRACTICM,7,4
EL,94,A,LAB,Fall 2013,1133,"Lamb, Sarah",EXPERIENTIAL LEARNING PRACTICM,8,3
EL,94,A,LAB,Fall 2013,1133,"Gaskins, Richard",EXPERIENTIAL LEARNING PRACTICM,9,1
BIOL,155,A,LAB,Fall 2013,1133,"Morris, James",PROJECT LAB:GENETICS&GENOMICS,1,12
BIOL,156,A,LAB,Fall 2013,1133,"Marr, Michael",PROJECT LAB IN BIOTECH.,1,16
BIOL,18,B,LAB,Fall 2013,1133,"Kosinski-Collins, Melissa",GENERAL BIOLOGY LAB,1,49
BIOL,18,B,LAB,Fall 2013,1133,"Kosinski-Collins, Melissa",GENERAL BIOLOGY LAB,2,70
BIOL,18,B,LAB,Fall 2013,1133,"Kosinski-Collins, Melissa",GENERAL BIOLOGY LAB,3,67
BIOL,18,B,LAB,Fall 2013,1133,"Kosinski-Collins, Melissa",GENERAL BIOLOGY LAB,4,71
CHEM,49,A,LAB,Fall 2013,1133,"Snider, Barry",ADV EXPERIMENTAL ORGANIC CHEM,1,8
CHEM,19,A,LAB,Fall 2013,1133,"Dolnik, Milos",HONORS GEN'L CHEM LAB I,1,15
CHEM,29,A,LAB,Fall 2013,1133,"DiBlasi, Christine",ORGANIC CHEMISTRY LAB I,1,37
CHEM,18,A,LAB,Fall 2013,1133,"Dolnik, Milos",GENERAL CHEMISTRY LAB I,1,58
CHSC,3,B,LAB,Fall 2013,1133,"Peavey, Dwight",ENVRO CHALLEGNES: ROLE OF CHEM,1,21
CHEM,49,A,LAB,Fall 2013,1133,"Snider, Barry",ADV EXPERIMENTAL ORGANIC CHEM,2,8
CHEM,19,A,LAB,Fall 2013,1133,"Dolnik, Milos",HONORS GEN'L CHEM LAB I,2,12
CHEM,29,A,LAB,Fall 2013,1133,"DiBlasi, Christine",ORGANIC CHEMISTRY LAB I,2,31
CHEM,18,A,LAB,Fall 2013,1133,"Dolnik, Milos",GENERAL CHEMISTRY LAB I,2,56
CHEM,49,A,LAB,Fall 2013,1133,"Snider, Barry",ADV EXPERIMENTAL ORGANIC CHEM,3,8
CHEM,29,A,LAB,Fall 2013,1133,"DiBlasi, Christine",ORGANIC CHEMISTRY LAB I,3,44
CHEM,19,A,LAB,Fall 2013,1133,"Dolnik, Milos",HONORS GEN'L CHEM LAB I,4,12
CHEM,29,A,LAB,Fall 2013,1133,"DiBlasi, Christine",ORGANIC CHEMISTRY LAB I,4,39
CHEM,18,A,LAB,Fall 2013,1133,"Dolnik, Milos",GENERAL CHEMISTRY LAB I,4,52
CHEM,29,A,LAB,Fall 2013,1133,"DiBlasi, Christine",ORGANIC CHEMISTRY LAB I,5,34
CHEM,18,A,LAB,Fall 2013,1133,"Dolnik, Milos",GENERAL CHEMISTRY LAB I,5,71
FILM,110,A,LAB,Fall 2013,1133,"Weinberg, Marc",FILM PRODUCTION I,1,13
MUS,104,A,LAB,Fall 2013,1133,"Koh, Emily",THEORY/MSCNSHP LAB2 PRT1,1,7
MUS,102,A,LAB,Fall 2013,1133,"Cheah, Victoria",THEORY/MSCNSHP LABI PRT1,1,11
MUS,102,A,LAB,Fall 2013,1133,"Praznik, James",THEORY/MSCNSHP LABI PRT1,2,5
PHYS,29,A,LAB,Fall 2013,1133,"Bensinger, James",ELECTRONICS LAB I,1,9
PHYS,39,A,LAB,Fall 2013,1133,"Fraden, Seth",ADVANCED PHYSICS LAB,1,9
PHYS,19,A,LAB,Fall 2013,1133,"Dogic, Zvonimir",PHYSICS LAB I,1,109
PHYS,18,A,LAB,Fall 2013,1133,"Wellenstein, Hermann",INTRODUCTORY LAB I,1,144
THA,43,A,LAB,Fall 2013,1133,"Dibble, Susan",DANCE & MVMNT PRACTICUM,1,1
THA,47,A,LAB,Fall 2013,1133,"Cleary, Jennifer",STAGE MANG. PRACTICUM,1,2
THA,199,A,LAB,Fall 2013,1133,"Terry, Elizabeth",PRODUCTION VOCAL COACHING LAB,1,7
THA,164,A,LAB,Fall 2013,1133,"Hoffman, Miranda",MEANING COSTUME&PROD DESIGN,1,12
EL,94,A,LAB,Spring 2014,1141,"Kramer Theodorou, Rachel",EXPERIENTIAL LEARNING PRACTICM,1,9
EL,94,A,LAB,Spring 2014,1141,"Hascal, Sara",EXPERIENTIAL LEARNING PRACTICM,10,1
EL,94,A,LAB,Spring 2014,1141,"Dellelo, Mark",EXPERIENTIAL LEARNING PRACTICM,11,5
EL,94,A,LAB,Spring 2014,1141,"McIntosh, Janet",EXPERIENTIAL LEARNING PRACTICM,12,1
EL,94,A,LAB,Spring 2014,1141,"Powers, Jillian",EXPERIENTIAL LEARNING PRACTICM,13,1
EL,94,A,LAB,Spring 2014,1141,"Dubinina, Irina",EXPERIENTIAL LEARNING PRACTICM,14,5
EL,94,A,LAB,Spring 2014,1141,"Fellman, Gordon",EXPERIENTIAL LEARNING PRACTICM,15,5
EL,94,A,LAB,Spring 2014,1141,"Hart, Andrew",EXPERIENTIAL LEARNING PRACTICM,4,21
EL,94,A,LAB,Spring 2014,1141,"Hanes, Amy",EXPERIENTIAL LEARNING PRACTICM,5,20
EL,94,A,LAB,Spring 2014,1141,"Vasquez, Alexandria",EXPERIENTIAL LEARNING PRACTICM,6,20
EL,94,A,LAB,Spring 2014,1141,"Goldin, Laura",EXPERIENTIAL LEARNING PRACTICM,8,9
EL,94,A,LAB,Spring 2014,1141,"Kosinski-Collins, Melissa",EXPERIENTIAL LEARNING PRACTICM,9,28
BCHM,155,B,LAB,Spring 2014,1141,"Westover, Emily",BIOCHEMISTRY LABORATORY,1,14
BIOL,158,B,LAB,Spring 2014,1141,"Becalska, Agata",CELL BIOLOGY PROJECT LAB,1,4
BIOL,159,A,LAB,Spring 2014,1141,"Lovett, Susan",PROJECT LAB IN MICROBIOLOGY,1,13
BIOL,18,A,LAB,Spring 2014,1141,"Baade, Jason",GENERAL BIOLOGY LAB,2,79
BIOL,18,A,LAB,Spring 2014,1141,"Baade, Jason",GENERAL BIOLOGY LAB,3,80
BIOL,18,A,LAB,Spring 2014,1141,"Baade, Jason",GENERAL BIOLOGY LAB,4,73
CHEM,59,B,LAB,Spring 2014,1141,"Pochapsky, Thomas",ADVANCED EXPERIMENTAL CHEM I,1,2
